mountain,annual_snowfall
Alta,517
Snowbird,497
Brighton,504
Powder King,492
Grand Targhee,466
Solitude,437
Wolf Creek,387
Mt Baker,651
Kirkwood,459
Alyeska,488
Winter Park,347
Loveland,344
Whistler,419
Vail,354
A-Basin,314
Whitewater,395
Beaver Creek,325
Mammoth,354
Lookout Pass,448
Shames Mountain,480
Mt Bachelor,383
Snowmass,295
Steamboat,368
Powder Mountain,350
Copper,278
Pomerelle,325
Eagle Point,325
Jackson Hole,368
Monarch,284
Revelstoke,367
Brian Head,308
Breckenridge,282
Sugar Bowl,453
Telluride,276
Lost Trail,300
Eaglecrest,350
Fernie,376
Park City,288
Sunshine Village,258
Deer Valley,275
Big Sky,286
Big White,282
Castle Mountain,278
Stevens Pass,474
Anthony Lakes,300
Beaver Mountain,300
Aspen Highlands,252
Taos,254
Mt Rose,344
Bridger Bowl,303
Purgatory,264
Snowbasin,316
Timberline,450
Aspen Mountain,250
Arctic Valley,250
Whitefish,332
Silver Mountain,353
Sundance,275
Mt Hood Meadows,452
Apex Mountain,228
Snowy Range,245
Keystone,235
Blacktail,250
Crystal Mountain,413
Ski Santa Fe,225
Antelope Butte,200
Brundage,299
Eldora,225
Crested Butte,253
Sunlight Mountain,232
Sierra-at-Tahoe,389
Powderhown,225
Maverick Mounain,225
Boreal,385
White Pass,380
Soda Springs,385
Heavenly,321
Mount Washington,394
Alpine Meadows,363
Bear Valley,352
Red River,214
Palisades Tahoe,369
Turner Mountain,300
Dodge Ridge,350
Kicking Horse,253
June Mountain,268
Donner Ski Ranch,385
Cuchara,200
Panorama,188
Buttermilk,200
Arizona Snowbowl,202
Angel Fire,210
Sun Valley,196
Willamette,375
Teton Pass,255
Ski Smithers,200
Schweitzer,284
Silver Star,223
Sun Peaks,207
Bluewood,275
Homewood,350
Northstar,316
Snoqualmie,387
Hoodoo,375
Tamarack,275
Mt Ashland,285
Kelly Canyon,200
Red Lodge,200
Discovery,215
Red Mountain,274
Pajarito Mountain,160
Jay Peak,322
Diamond Peak,300
Ski Apache,185
49 Degrees North,275
Cypress Mountain,350
Mount Seymour,350
Bogus Basin,246
Ski Granby,200
Lake Louise,171
Grouse Mountain,350
Pebble Creek,225
Sipapu,190
Marmot Basin,160
China Peak,300
Great Divide,180
Mt Hood Skibowl,350
White Pine,150
Stowe,305
Smugglers Notch,322
Showdown,175
Snow King,150
Massif Du Sud,236
Harper Mountain,156
Nakiska,99
Snow Summit,83
Mont Sutton,236
Sugarbush,267
Killington,240
Stoneham,165
Bear Mountain,83
Montana Snowbowl,250
Pico Mountain,250
Mt Shasta,300
Kimberley,150
Mt Spokane,200
Mission Ridge,170
Blue Mountain,110
Sandia Peak,125
Indianhead,210
Terry Peak,150
Mt Lemmon,125
Mad River Glen,269
Spout Springs,200
Big Powderhorn,214
Soldier Mountain,125
Le Massif,232
Hemlock Resort,180
Ski Mystic Deer Mountain,150
Saddleback Maine,175
Mount Bohemia,252
Sunday River,150
Sugarloaf,173
Moose Mountain,70
Mont-Sainte-Anne,184
Wildcat Mountain,225
Bretton Woods,200
Holiday Valley,180
Marble Mountain,200
Okemo,167
Mont Tremblant,156
Marshall Mountain,150
Troll Ski Resort,150
Mountain High,120
Loup Loup,150
Kissing Bridge,182
Stratton,189
Burke Mountain,200
Warner Canyon,150
Hunter Mountain,125
Cannon Mountain,163
Mount Snow,167
Silver Summit,100
Snowshoe Mountain,156
Whiteface Mountain,185
Attitash,155
Mt. Baldy,167
Gore Mountain,150
Swain Resort,130
Snow Valley,146
Whitecap Mountains,150
Granite Peak,75
Lutsen Mountains,114
Waterville Valley,185
Loon Mountain,171
Giants Ridge,85
Boyne Mountain,140
Shanty Creek,140
Nubs Nob,140
Boyne Highlands,140
Dry Hill,125
Caberfae Peaks,125
Mont Orford,140
Ski Bromont,125
Bromley Mountain,145
Labrador Mountain,125
Greek Peak,110
Crystal Mountain Mi,140
Shawness Peak,110
Cranmore Mountain,120
Seven Springs,105
Gunstock,120
Windham Mountain,110
Afton Alps,55
Berkshire East,110
Ragged Mounain,100
Pine Mountain,75
Mount Sunapee,100
Bousquet,83
Devil's Head,70